Timestamp,ExtPressure (kPa),IntPressure (kPa),Temp (C),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
25581,123.58,102.48,11.31,0.300,0.343,-0.874,9.888,0.122,1.038
25672,124.78,102.48,11.31,0.302,0.395,-0.883,6.714,3.052,1.709
25763,123.82,102.48,11.31,0.287,0.389,-0.874,-1.465,3.235,5.310
25854,123.58,102.48,11.31,0.294,0.375,-0.876,-2.136,4.578,-16.602
25944,123.82,102.48,11.31,0.293,0.312,-0.889,-0.427,1.831,-1.831
26035,123.58,102.48,11.31,0.285,0.346,-0.860,4.395,1.282,12.878
26138,122.15,102.48,11.31,0.263,0.308,-0.882,-5.005,-2.930,-19.470
26229,125.50,102.48,11.31,0.198,0.112,-0.853,8.362,13.550,-34.851
26320,125.02,102.49,11.31,0.336,0.356,-0.983,0.000,2.014,-20.935
26411,125.74,102.48,11.31,0.497,0.295,-0.732,-5.127,1.953,-1.526
26501,124.06,102.48,11.31,0.374,0.382,-0.974,-12.878,-2.014,8.789
26592,125.26,102.48,11.31,0.238,0.292,-0.918,-13.367,-0.183,22.644
26683,122.63,102.48,11.32,0.201,0.186,-0.800,-15.198,-10.071,26.184
26774,118.56,102.48,11.32,0.403,0.241,-0.892,0.000,-10.925,-0.366
26877,119.52,102.48,11.32,0.562,0.068,-0.737,-29.724,-66.650,55.054
26967,121.91,102.48,11.32,0.172,0.295,-0.922,-13.123,-35.278,4.456
27058,121.43,102.48,11.31,0.754,0.066,-0.743,-31.738,-59.143,53.101
27149,123.82,102.49,11.32,0.422,0.300,-0.764,-18.982,-13.977,7.263
27240,120.71,102.49,11.32,0.607,0.123,-0.745,-3.235,-10.132,-2.502
27331,122.63,102.49,11.32,0.644,0.170,-0.745,0.671,-3.906,-5.737
27421,121.67,102.49,11.31,0.703,0.127,-0.646,-8.057,6.897,-14.709
27524,121.19,102.49,11.32,0.635,0.130,-0.697,-1.282,-4.822,2.075
27615,120.00,102.49,11.32,0.631,0.140,-0.783,1.221,1.282,0.183
